Type,Journal,Year,Author,1st Quartile,1st Decile,Citations,DOI
Article,Commun. Earth Environ.,2024,2nd,Yes,Yes (10),3,10.1038/s43247-023-01162-0
Article,Geosci. Model Dev.,2023,1st,Yes,Yes (9),3,10.5194/gmd-16-3459-2023
Article,Future Gener. Comput. Syst.,2023,-,Yes,Yes (31),17,10.1016/j.future.2023.04.006
Article,Atmos. Chem. Phys.,2022,1st,Yes,Yes (6),19,10.5194/acp-22-1773-2022
Article,Nat. Hazards Earth Syst. Sci.,2022,-,Yes,No,16,10.5194/nhess-22-139-2022
Article,Front. Earth Sci.,2022,2nd,Yes,No,17,10.3389/feart.2021.741841
Article,Atmos. Res.,2021,-,Yes,No,11,10.1016/j.atmosres.2021.105858
Article,Geosci. Model Dev.,2021,2nd,Yes,Yes (5),35,10.5194/gmd-14-409-2021
Article,Atmosphere,2020,1st,No (Q2),No,12,10.3390/atmos11090977
Article,Sci. Rep.,2020,3rd,Yes,Yes (10),8,10.1038/s41598-020-71022-w
Article,Geosci. Model Dev.,2020,2nd,Yes,Yes (3),56,10.5194/gmd-13-1431-2020
Article,Front. Earth Sci.,2020,-,Yes,No,43,10.3389/feart.2019.00343
Conf. Paper,Proc. SPIE,2018,-,No,No,0,-
Article,Atmos. Chem. Phys.,2017,1st,Yes,Yes (4),25,10.5194/acp-17-6759-2017
Article,Remote Sens. Lett.,2017,2nd,Yes,No,7,10.1080/2150704X.2016.1239281
Article,J. Volcanol. Geotherm. Res.,2016,3rd,Yes,Yes (21),68,10.1016/j.jvolgeores.2016.04.033
Article,Nat. Hazards Earth Syst. Sci.,2014,2nd,Yes,No,58,10.5194/nhess-14-119-2014
Book ch.,N/A,2023,2nd,N/A,N/A,1,10.1017/9781009180412.010
